iter	Passed	Remaining
636	1139	649
637	1141	647
638	1143	645
639	1144	644
640	1146	642
641	1148	640
642	1150	638
643	1152	636
644	1154	635
645	1155	633
646	1156	631
647	1158	629
648	1160	627
649	1162	625
650	1164	624
651	1165	622
652	1167	620
653	1169	618
654	1171	616
655	1172	615
656	1174	613
657	1176	611
658	1178	609
659	1179	607
660	1181	605
661	1183	604
662	1185	602
663	1186	600
664	1188	598
665	1190	597
666	1192	595
667	1194	593
668	1196	591
669	1197	589
670	1200	588
671	1203	587
672	1205	585
673	1207	584
674	1209	582
675	1211	580
676	1214	579
677	1216	577
678	1218	575
679	1220	574
680	1224	573
681	1226	571
682	1228	570
683	1230	568
684	1232	566
685	1234	565
686	1236	563
687	1237	561
688	1239	559
689	1241	557
690	1242	555
691	1244	553
692	1245	551
693	1247	550
694	1249	548
695	1251	546
696	1252	544
697	1254	542
698	1256	541
699	1258	539
700	1260	537
701	1262	535
702	1263	533
703	1265	532
704	1267	530
705	1269	528
706	1270	526
707	1272	524
708	1273	522
709	1275	521
710	1277	519
711	1279	517
712	1280	515
713	1282	513
714	1284	511
715	1286	510
716	1287	508
717	1289	506
718	1291	504
719	1293	502
720	1294	501
721	1296	499
722	1298	497
723	1299	495
724	1301	493
725	1303	491
726	1305	490
727	1306	488
728	1308	486
729	1310	484
730	1312	482
731	1313	481
732	1315	479
733	1317	477
734	1319	475
735	1320	473
736	1322	471
737	1324	470
738	1325	468
739	1327	466
740	1329	464
741	1330	462
742	1332	460
743	1334	459
744	1336	457
745	1337	455
746	1339	453
747	1341	451
748	1343	450
749	1344	448
750	1346	446
751	1348	444
752	1350	442
753	1351	441
754	1353	439
755	1355	437
756	1356	435
757	1358	433
758	1360	431
759	1361	430
760	1363	428
761	1365	426
762	1366	424
763	1368	422
764	1370	420
765	1371	419
766	1373	417
767	1375	415
768	1377	413
769	1378	411
770	1380	410
771	1383	408
772	1385	406
773	1386	404
774	1389	403
775	1391	401
776	1392	399
777	1394	397
